device,input_type,layers,nodes,batch_size,input_size,output_size,#params,duration,tflops
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 2000, 200, 134529024, 1.3038609027862549, 3.962013517362796
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 2000, 400, 134938624, 1.3047609329223633, 3.971335308142861
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 2000, 600, 135348224, 1.302339792251587, 3.9907955147514746
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 2000, 800, 135757824, 1.3188774585723877, 3.952679915572213
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 2000, 1000, 136167424, 1.2817473411560059, 4.079453815667078
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 4000, 200, 138625024, 1.8687572479248047, 2.8485245622518627
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 4000, 400, 139034624, 1.28617525100708, 4.151012513589884
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 4000, 600, 139444224, 1.2825775146484375, 4.17491975373336
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 4000, 800, 139853824, 1.7725601196289062, 3.0297346657693707
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 4000, 1000, 140263424, 1.3103094100952148, 4.110567656847258
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 6000, 200, 142721024, 1.8707923889160156, 2.9295005442990565
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 6000, 400, 143130624, 1.3822760581970215, 3.976207161374853
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 6000, 600, 143540224, 1.0957319736480713, 5.030376710874674
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 6000, 800, 143949824, 1.9812862873077393, 2.7899417045434913
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 6000, 1000, 144359424, 1.0000014305114746, 5.543393951711344
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 8000, 200, 146817024, 1.7243483066558838, 3.2695098199351738
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 8000, 400, 147226624, 1.7050609588623047, 3.3157186153463263
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 8000, 600, 147636224, 1.8366906642913818, 3.086655315356144
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 8000, 800, 148045824, 1.8959453105926514, 2.998482925555983
NVIDIA A100 80GB PCIe, f16, 32, 2048, 64, 8000, 1000, 148455424, 0.9609596729278564, 5.932286694436527
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 2000, 200, 134529024, 0.9515995979309082, 10.857328088058054
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 2000, 400, 134938624, 0.9451436996459961, 10.964773216053361
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 2000, 600, 135348224, 1.206305742263794, 8.617005821171732
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 2000, 800, 135757824, 1.6257414817810059, 6.413197301072774
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 2000, 1000, 136167424, 1.59552001953125, 6.554388559958257
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 4000, 200, 138625024, 1.2813663482666016, 8.308632310815849
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 4000, 400, 139034624, 1.1534819602966309, 9.257066422134654
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 4000, 600, 139444224, 1.2850947380065918, 8.333483973183204
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 4000, 800, 139853824, 1.2840638160705566, 8.364672805802213
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 4000, 1000, 140263424, 1.3066108226776123, 8.24440665593499
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 6000, 200, 142721024, 1.306157112121582, 8.391773502190839
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 6000, 400, 143130624, 1.3053483963012695, 8.421071305060988
NVIDIA A100 80GB PCIe, f16, 32, 2048, 128, 6000, 600, 143540224, 1.6128742694854736, 6.8349340130007485
