device,input_type,layers,nodes,batch_size,input_size,output_size,#params,duration,tflops
Tesla T4, f16, 32, 8192, 64, 8000, 1000, 2154102784, 0, 0.0
Tesla T4, f16, 128, 1024, 64, 2000, 200, 135421952, 3.9165027141571045, 1.327766973836802
Tesla T4, f16, 128, 1024, 64, 2000, 400, 135626752, 3.9617388248443604, 1.3145912709186736
Tesla T4, f16, 128, 1024, 64, 2000, 600, 135831552, 3.8803484439849854, 1.3441915518915142
Tesla T4, f16, 128, 1024, 64, 2000, 800, 136036352, 3.814556837081909, 1.3694371692194112
Tesla T4, f16, 128, 1024, 64, 2000, 1000, 136241152, 3.7574515342712402, 1.3923427059757627
Tesla T4, f16, 128, 1024, 64, 4000, 200, 137469952, 3.8691937923431396, 1.3643271544698699
Tesla T4, f16, 128, 1024, 64, 4000, 400, 137674752, 3.9695544242858887, 1.3318145846434801
Tesla T4, f16, 128, 1024, 64, 4000, 600, 137879552, 3.878577709197998, 1.3650815308518849
Tesla T4, f16, 128, 1024, 64, 4000, 800, 138084352, 4.076336145401001, 1.300785540658199
Tesla T4, f16, 128, 1024, 64, 4000, 1000, 138289152, 3.993069648742676, 1.3298799930705165
Tesla T4, f16, 128, 1024, 64, 6000, 200, 139517952, 3.9157803058624268, 1.3681792486619204
Tesla T4, f16, 128, 1024, 64, 6000, 400, 139722752, 3.931647300720215, 1.3646579325203338
Tesla T4, f16, 128, 1024, 64, 6000, 600, 139927552, 3.9059855937957764, 1.3756369212766066
Tesla T4, f16, 128, 1024, 64, 6000, 800, 140132352, 3.982707977294922, 1.3511114416314454
Tesla T4, f16, 128, 1024, 64, 6000, 1000, 140337152, 4.189228296279907, 1.2863817046174015
Tesla T4, f16, 128, 1024, 64, 8000, 200, 141565952, 4.579111814498901, 1.1871587279409737
Tesla T4, f16, 128, 1024, 64, 8000, 400, 141770752, 4.613420248031616, 1.1800348947449046
Tesla T4, f16, 128, 1024, 64, 8000, 600, 141975552, 3.8845160007476807, 1.4034853237187443
Tesla T4, f16, 128, 1024, 64, 8000, 800, 142180352, 3.856827735900879, 1.4156000450781647
Tesla T4, f16, 128, 1024, 64, 8000, 1000, 142385152, 3.9530959129333496, 1.3831159064245515
Tesla T4, f16, 128, 1024, 128, 2000, 200, 135421952, 3.9083375930786133, 2.661081768375991
Tesla T4, f16, 128, 1024, 128, 2000, 400, 135626752, 4.610497951507568, 2.259221165079158
Tesla T4, f16, 128, 1024, 128, 2000, 600, 135831552, 3.9773406982421875, 2.622823636459012
Tesla T4, f16, 128, 1024, 128, 2000, 800, 136036352, 4.028462886810303, 2.593443734533769
Tesla T4, f16, 128, 1024, 128, 2000, 1000, 136241152, 3.782797336578369, 2.7660272392663585
Tesla T4, f16, 128, 1024, 128, 4000, 200, 137469952, 3.94291353225708, 2.6776372921260485
Tesla T4, f16, 128, 1024, 128, 4000, 400, 137674752, 3.8295629024505615, 2.7609994202821424
Tesla T4, f16, 128, 1024, 128, 4000, 600, 137879552, 3.9210522174835205, 2.7005887721627886
Tesla T4, f16, 128, 1024, 128, 4000, 800, 138084352, 4.006905555725098, 2.6466504104264867
Tesla T4, f16, 128, 1024, 128, 4000, 1000, 138289152, 3.790419578552246, 2.8019607469568184
Tesla T4, f16, 128, 1024, 128, 6000, 200, 139517952, 3.9136626720428467, 2.737839106610334
Tesla T4, f16, 128, 1024, 128, 6000, 400, 139722752, 4.622933864593506, 2.3211898910744098
Tesla T4, f16, 128, 1024, 128, 6000, 600, 139927552, 4.585719347000122, 2.343456975976972
Tesla T4, f16, 128, 1024, 128, 6000, 800, 140132352, 3.770542621612549, 2.8542747592645807
Tesla T4, f16, 128, 1024, 128, 6000, 1000, 140337152, 4.368707656860352, 2.4670667209043056
Tesla T4, f16, 128, 1024, 128, 8000, 200, 141565952, 3.7973172664642334, 2.8631437277094856
Tesla T4, f16, 128, 1024, 128, 8000, 400, 141770752, 4.296449661254883, 2.5341839453601085
Tesla T4, f16, 128, 1024, 128, 8000, 600, 141975552, 3.8618052005767822, 2.8234780956769825
Tesla T4, f16, 128, 1024, 128, 8000, 800, 142180352, 3.9879212379455566, 2.7381310668074614
Tesla T4, f16, 128, 1024, 128, 8000, 1000, 142385152, 4.176637411117554, 2.6181778778527116
Tesla T4, f16, 128, 1024, 256, 2000, 200, 135421952, 3.9355437755584717, 5.285371733477484
Tesla T4, f16, 128, 1024, 256, 2000, 400, 135626752, 3.8894402980804443, 5.356109751184856
Tesla T4, f16, 128, 1024, 256, 2000, 600, 135831552, 3.746644973754883, 5.5686424877055805
Tesla T4, f16, 128, 1024, 256, 2000, 800, 136036352, 3.936608076095581, 5.307915663254018
Tesla T4, f16, 128, 1024, 256, 2000, 1000, 136241152, 3.841029405593872, 5.4481855610695265
Tesla T4, f16, 128, 1024, 256, 4000, 200, 137469952, 3.741403102874756, 5.643707466585389
Tesla T4, f16, 128, 1024, 256, 4000, 400, 137674752, 3.811870574951172, 5.547628517652617
Tesla T4, f16, 128, 1024, 256, 4000, 600, 137879552, 4.372591257095337, 4.84342074115304
Tesla T4, f16, 128, 1024, 256, 4000, 800, 138084352, 3.944012403488159, 5.377710386620916
Tesla T4, f16, 128, 1024, 256, 4000, 1000, 138289152, 3.899200439453125, 5.447581902247412
Tesla T4, f16, 128, 1024, 256, 6000, 200, 139517952, 3.6879937648773193, 5.810735807443228
Tesla T4, f16, 128, 1024, 256, 6000, 400, 139722752, 4.279446125030518, 5.0149982217726725
Tesla T4, f16, 128, 1024, 256, 6000, 600, 139927552, 3.7851016521453857, 5.678281315118155
Tesla T4, f16, 128, 1024, 256, 6000, 800, 140132352, 3.766629934310913, 5.714479426590596
Tesla T4, f16, 128, 1024, 256, 6000, 1000, 140337152, 3.8796169757843018, 5.556163580514876
Tesla T4, f16, 128, 1024, 256, 8000, 200, 141565952, 3.8886749744415283, 5.5917582133031924
Tesla T4, f16, 128, 1024, 256, 8000, 400, 141770752, 3.8537518978118896, 5.650594040463301
Tesla T4, f16, 128, 1024, 256, 8000, 600, 141975552, 3.8944218158721924, 5.599661725990003
Tesla T4, f16, 128, 1024, 256, 8000, 800, 142180352, 4.194253444671631, 5.206862760032799
Tesla T4, f16, 128, 1024, 256, 8000, 1000, 142385152, 4.352008819580078, 5.0253481217233045
Tesla T4, f16, 128, 1024, 512, 2000, 200, 135421952, 3.8962619304656982, 10.677316976332644
Tesla T4, f16, 128, 1024, 512, 2000, 400, 135626752, 4.011799573898315, 10.385498439523001
Tesla T4, f16, 128, 1024, 512, 2000, 600, 135831552, 3.905693769454956, 10.683749222925666
Tesla T4, f16, 128, 1024, 512, 2000, 800, 136036352, 3.987767219543457, 10.479640619339964
Tesla T4, f16, 128, 1024, 512, 2000, 1000, 136241152, 3.937729835510254, 10.628784513596937
Tesla T4, f16, 128, 1024, 512, 4000, 200, 137469952, 4.005920171737671, 10.542089568420261
Tesla T4, f16, 128, 1024, 512, 4000, 400, 137674752, 3.9965264797210693, 10.582610681801816
Tesla T4, f16, 128, 1024, 512, 4000, 600, 137879552, 4.17804741859436, 10.137893166528547
Tesla T4, f16, 128, 1024, 512, 4000, 800, 138084352, 4.20015287399292, 10.099516424047069
Tesla T4, f16, 128, 1024, 512, 4000, 1000, 138289152, 4.0142662525177, 10.582862426665278
Tesla T4, f16, 128, 1024, 512, 6000, 200, 139517952, 4.020808935165405, 10.659525370517727
Tesla T4, f16, 128, 1024, 512, 6000, 400, 139722752, 4.031254768371582, 10.647510981236891
Tesla T4, f16, 128, 1024, 512, 6000, 600, 139927552, 4.051977157592773, 10.608584970389435
Tesla T4, f16, 128, 1024, 512, 6000, 800, 140132352, 4.029901027679443, 10.682311609818592
Tesla T4, f16, 128, 1024, 512, 6000, 1000, 140337152, 4.07173228263855, 10.588017605730942
Tesla T4, f16, 128, 1024, 512, 8000, 200, 141565952, 4.068558216094971, 10.689059402507723
Tesla T4, f16, 128, 1024, 512, 8000, 400, 141770752, 4.062499523162842, 10.720487415711201
Tesla T4, f16, 128, 1024, 512, 8000, 600, 141975552, 4.321852922439575, 10.091710744700798
Tesla T4, f16, 128, 1024, 512, 8000, 800, 142180352, 4.462095260620117, 9.78863103167589
Tesla T4, f16, 128, 1024, 512, 8000, 1000, 142385152, 4.5509397983551025, 9.611359550440483
Tesla T4, f16, 128, 1024, 1024, 2000, 200, 135421952, 5.214174509048462, 15.957127473277417
Tesla T4, f16, 128, 1024, 1024, 2000, 400, 135626752, 5.2107744216918945, 15.991687546847162
Tesla T4, f16, 128, 1024, 1024, 2000, 600, 135831552, 5.2280189990997314, 15.963007319439924
Tesla T4, f16, 128, 1024, 1024, 2000, 800, 136036352, 5.237220525741577, 15.95898707300762
Tesla T4, f16, 128, 1024, 1024, 2000, 1000, 136241152, 5.230091571807861, 16.00479889109581
Tesla T4, f16, 128, 1024, 1024, 4000, 200, 137469952, 5.279961347579956, 15.99662060926119
Tesla T4, f16, 128, 1024, 1024, 4000, 400, 137674752, 5.283925294876099, 16.008433675401434
Tesla T4, f16, 128, 1024, 1024, 4000, 600, 137879552, 5.299168825149536, 15.986129059854871
Tesla T4, f16, 128, 1024, 1024, 4000, 800, 138084352, 5.308170318603516, 15.982724889490664
Tesla T4, f16, 128, 1024, 1024, 4000, 1000, 138289152, 5.315518617630005, 15.98430202219529
Tesla T4, f16, 128, 1024, 1024, 6000, 200, 139517952, 5.3440635204315186, 16.040196637086073
Tesla T4, f16, 128, 1024, 1024, 6000, 400, 139722752, 5.350497245788574, 16.04442631876316
Tesla T4, f16, 128, 1024, 1024, 6000, 600, 139927552, 5.358994483947754, 16.04246621382381
Tesla T4, f16, 128, 1024, 1024, 6000, 800, 140132352, 5.374597549438477, 16.01930493898938
Tesla T4, f16, 128, 1024, 1024, 6000, 1000, 140337152, 5.373594760894775, 16.045710557906435
Tesla T4, f16, 128, 1024, 1024, 8000, 200, 141565952, 5.413019895553589, 16.068317240113295
Tesla T4, f16, 128, 1024, 1024, 8000, 400, 141770752, 5.4150426387786865, 16.085552014867513
Tesla T4, f16, 128, 1024, 1024, 8000, 600, 141975552, 5.425191879272461, 16.07865326977114
Tesla T4, f16, 128, 1024, 1024, 8000, 800, 142180352, 5.431970119476318, 16.081754197355878
Tesla T4, f16, 128, 1024, 1024, 8000, 1000, 142385152, 5.442881345748901, 16.07263356147316
Tesla T4, f16, 128, 1024, 2048, 2000, 200, 135421952, 8.287864208221436, 20.07833266048535
Tesla T4, f16, 128, 1024, 2048, 2000, 400, 135626752, 8.30338978767395, 20.071098324806737
Tesla T4, f16, 128, 1024, 2048, 2000, 600, 135831552, 8.31709361076355, 20.068285738854016
