device,input_type,layers,nodes,batch_size,input_size,output_size,#params,duration,tflops
Tesla T4, f16, 32, 8192, 64, 8000, 1000, 2154102784, 0, 0.0
Tesla T4, f16, 16, 1024, 64, 2000, 200, 17981440, 0.7125799655914307, 0.9689962240615423
Tesla T4, f16, 16, 1024, 64, 2000, 400, 18186240, 0.9487085342407227, 0.7361076566670814
Tesla T4, f16, 16, 1024, 64, 2000, 600, 18391040, 0.7135303020477295, 0.9897490463590147
Tesla T4, f16, 16, 1024, 64, 2000, 800, 18595840, 0.7114517688751221, 1.0036945401499724
Tesla T4, f16, 16, 1024, 64, 2000, 1000, 18800640, 0.7177355289459229, 1.0058643426224958
Tesla T4, f16, 16, 1024, 64, 4000, 200, 20029440, 0.9143450260162354, 0.8411819106744319
Tesla T4, f16, 16, 1024, 64, 4000, 400, 20234240, 0.6434855461120605, 1.2074782731245517
Tesla T4, f16, 16, 1024, 64, 4000, 600, 20439040, 0.6460263729095459, 1.214902624586648
Tesla T4, f16, 16, 1024, 64, 4000, 800, 20643840, 0.653531551361084, 1.2129842152976802
Tesla T4, f16, 16, 1024, 64, 4000, 1000, 20848640, 0.6461794376373291, 1.2389558215087202
Tesla T4, f16, 16, 1024, 64, 6000, 200, 22077440, 0.64827561378479, 1.3077365212775656
Tesla T4, f16, 16, 1024, 64, 6000, 400, 22282240, 0.7138638496398926, 1.1986011288169658
Tesla T4, f16, 16, 1024, 64, 6000, 600, 22487040, 0.714562177658081, 1.208435546966757
Tesla T4, f16, 16, 1024, 64, 6000, 800, 22691840, 0.7129619121551514, 1.2221784097358308
Tesla T4, f16, 16, 1024, 64, 6000, 1000, 22896640, 0.979377269744873, 0.8977449274772723
Tesla T4, f16, 16, 1024, 64, 8000, 200, 24125440, 0.7149205207824707, 1.2958320107891845
Tesla T4, f16, 16, 1024, 64, 8000, 400, 24330240, 0.712644100189209, 1.3110067363947107
Tesla T4, f16, 16, 1024, 64, 8000, 600, 24535040, 0.974442720413208, 0.966855738427075
Tesla T4, f16, 16, 1024, 64, 8000, 800, 24739840, 0.9508388042449951, 0.9991281926638939
Tesla T4, f16, 16, 1024, 64, 8000, 1000, 24944640, 0.7154452800750732, 1.3388503672838379
Tesla T4, f16, 16, 1024, 128, 2000, 200, 17981440, 0.7960672378540039, 1.7347461700882938
Tesla T4, f16, 16, 1024, 128, 2000, 400, 18186240, 0.7124402523040771, 1.960449634173494
Tesla T4, f16, 16, 1024, 128, 2000, 600, 18391040, 0.7133283615112305, 1.980058481072693
Tesla T4, f16, 16, 1024, 128, 2000, 800, 18595840, 0.8307709693908691, 1.719078500115554
Tesla T4, f16, 16, 1024, 128, 2000, 1000, 18800640, 0.9462625980377197, 1.5258863184429106
Tesla T4, f16, 16, 1024, 128, 4000, 200, 20029440, 0.7098016738891602, 2.1671701386269326
Tesla T4, f16, 16, 1024, 128, 4000, 400, 20234240, 0.7137129306793213, 2.17733148048879
Tesla T4, f16, 16, 1024, 128, 4000, 600, 20439040, 0.7132856845855713, 2.2006866335920194
Tesla T4, f16, 16, 1024, 128, 4000, 800, 20643840, 0.8361742496490479, 1.896072394797413
Tesla T4, f16, 16, 1024, 128, 4000, 1000, 20848640, 0.7145164012908936, 2.2409220405678694
Tesla T4, f16, 16, 1024, 128, 6000, 200, 22077440, 0.7160851955413818, 2.3678012093492806
Tesla T4, f16, 16, 1024, 128, 6000, 400, 22282240, 0.7104740142822266, 2.408639862400679
Tesla T4, f16, 16, 1024, 128, 6000, 600, 22487040, 0.7108221054077148, 2.4295877391283733
Tesla T4, f16, 16, 1024, 128, 6000, 800, 22691840, 0.9162428379058838, 1.9020430391391643
Tesla T4, f16, 16, 1024, 128, 6000, 1000, 22896640, 0.7677030563354492, 2.2905496304701916
Tesla T4, f16, 16, 1024, 128, 8000, 200, 24125440, 0.8466827869415283, 2.1883447030888514
Tesla T4, f16, 16, 1024, 128, 8000, 400, 24330240, 0.7123408317565918, 2.6231297557269486
Tesla T4, f16, 16, 1024, 128, 8000, 600, 24535040, 0.7113358974456787, 2.6489469725431567
Tesla T4, f16, 16, 1024, 128, 8000, 800, 24739840, 0.7120440006256104, 2.6684021076374775
Tesla T4, f16, 16, 1024, 128, 8000, 1000, 24944640, 0.7140805721282959, 2.6828181955576373
Tesla T4, f16, 16, 1024, 256, 2000, 200, 17981440, 0.7095065116882324, 3.892774961893008
Tesla T4, f16, 16, 1024, 256, 2000, 400, 18186240, 0.9072897434234619, 3.0788471756108295
Tesla T4, f16, 16, 1024, 256, 2000, 600, 18391040, 0.7057535648345947, 4.002620581395227
Tesla T4, f16, 16, 1024, 256, 2000, 800, 18595840, 0.7077350616455078, 4.035861975467144
Tesla T4, f16, 16, 1024, 256, 2000, 1000, 18800640, 0.7068092823028564, 4.085654187493583
Tesla T4, f16, 16, 1024, 256, 4000, 200, 20029440, 0.7047708034515381, 4.365280129274751
Tesla T4, f16, 16, 1024, 256, 4000, 400, 20234240, 0.7178676128387451, 4.32946020744656
Tesla T4, f16, 16, 1024, 256, 4000, 600, 20439040, 0.7055795192718506, 4.449443979382877
Tesla T4, f16, 16, 1024, 256, 4000, 800, 20643840, 0.7067193984985352, 4.486779096111896
Tesla T4, f16, 16, 1024, 256, 4000, 1000, 20848640, 0.7060723304748535, 4.535443418164154
Tesla T4, f16, 16, 1024, 256, 6000, 200, 22077440, 0.7042222023010254, 4.815376131169533
Tesla T4, f16, 16, 1024, 256, 6000, 400, 22282240, 0.7050952911376953, 4.854027685360933
Tesla T4, f16, 16, 1024, 256, 6000, 600, 22487040, 0.7038137912750244, 4.907561327752245
Tesla T4, f16, 16, 1024, 256, 6000, 800, 22691840, 0.7064962387084961, 4.933453899728574
Tesla T4, f16, 16, 1024, 256, 6000, 1000, 22896640, 0.7055568695068359, 4.984607274050395
Tesla T4, f16, 16, 1024, 256, 8000, 200, 24125440, 0.7055926322937012, 5.2518513011591725
Tesla T4, f16, 16, 1024, 256, 8000, 400, 24330240, 0.7083134651184082, 5.276088974780774
Tesla T4, f16, 16, 1024, 256, 8000, 600, 24535040, 0.7012937068939209, 5.373757253136229
Tesla T4, f16, 16, 1024, 256, 8000, 800, 24739840, 0.9058446884155273, 4.1950231343155515
Tesla T4, f16, 16, 1024, 256, 8000, 1000, 24944640, 0.7053992748260498, 5.431670885889187
Tesla T4, f16, 16, 1024, 512, 2000, 200, 17981440, 0.6821005344390869, 8.098363934786356
Tesla T4, f16, 16, 1024, 512, 2000, 400, 18186240, 0.6816740036010742, 8.195725373839378
Tesla T4, f16, 16, 1024, 512, 2000, 600, 18391040, 0.6849799156188965, 8.248019188847792
Tesla T4, f16, 16, 1024, 512, 2000, 800, 18595840, 0.6200931072235107, 9.212555310570313
Tesla T4, f16, 16, 1024, 512, 2000, 1000, 18800640, 0.6834907531738281, 8.450087409640693
Tesla T4, f16, 16, 1024, 512, 4000, 200, 20029440, 0.6826207637786865, 9.013854096584275
Tesla T4, f16, 16, 1024, 512, 4000, 400, 20234240, 0.6832771301269531, 9.097272913034676
Tesla T4, f16, 16, 1024, 512, 4000, 600, 20439040, 0.6803665161132812, 9.22866269767245
Tesla T4, f16, 16, 1024, 512, 4000, 800, 20643840, 0.6794679164886475, 9.333461513198554
Tesla T4, f16, 16, 1024, 512, 4000, 1000, 20848640, 0.6210644245147705, 10.31246027818114
Tesla T4, f16, 16, 1024, 512, 6000, 200, 22077440, 0.6806638240814209, 9.964081133814915
Tesla T4, f16, 16, 1024, 512, 6000, 400, 22282240, 0.683912992477417, 10.008735326410731
Tesla T4, f16, 16, 1024, 512, 6000, 600, 22487040, 0.6795644760131836, 10.165361686542873
Tesla T4, f16, 16, 1024, 512, 6000, 800, 22691840, 0.6784615516662598, 10.274617966014164
Tesla T4, f16, 16, 1024, 512, 6000, 1000, 22896640, 0.6813397407531738, 10.323554296457988
Tesla T4, f16, 16, 1024, 512, 8000, 200, 24125440, 0.7114946842193604, 10.416571384692197
Tesla T4, f16, 16, 1024, 512, 8000, 400, 24330240, 0.7179155349731445, 10.411043310658535
Tesla T4, f16, 16, 1024, 512, 8000, 600, 24535040, 0.7202150821685791, 10.465157526700882
Tesla T4, f16, 16, 1024, 512, 8000, 800, 24739840, 0.7247393131256104, 10.486638037093442
Tesla T4, f16, 16, 1024, 512, 8000, 1000, 24944640, 0.7293004989624023, 10.507319573896316
Tesla T4, f16, 16, 1024, 1024, 2000, 200, 17981440, 0.7268202304840088, 15.2001778055118
Tesla T4, f16, 16, 1024, 1024, 2000, 400, 18186240, 0.7319469451904297, 15.265622637571049
Tesla T4, f16, 16, 1024, 1024, 2000, 600, 18391040, 0.798311710357666, 14.154189183743187
Tesla T4, f16, 16, 1024, 1024, 2000, 800, 18595840, 0.7716836929321289, 14.805657033632402
Tesla T4, f16, 16, 1024, 1024, 2000, 1000, 18800640, 0.8972532749176025, 12.873860189655783
Tesla T4, f16, 16, 1024, 1024, 4000, 200, 20029440, 0.8037710189819336, 15.310439970312746
Tesla T4, f16, 16, 1024, 1024, 4000, 400, 20234240, 0.8108439445495605, 15.332071158163695
Tesla T4, f16, 16, 1024, 1024, 4000, 600, 20439040, 0.8178637027740479, 15.35432631795049
